REPORT ID,TITLE,YEAR,CREATOR,CONTRIBUTOR,REGION,REGION NEIGHBORHOODS,CALL NUMBER,TABLE OF CONTENTS,PATH
4336,Germantown,1956,Philadelphia City Planning Commission,,Northwest Area,"Chestnut Hill,East Falls,East Mount Airy,Germantown,Manayunk,Mount Airy,Roxborough,West Mount Airy,Wissahickon",HT 168 G37 C4 1956,"pp. 1: select a section,pp. 1: Explanatory Note,pp. 2: Title Page,pp. 4: Index,pp. 5: Maps,pp. 6: Tables,pp. 7: Part A,pp. 8: Germantown Report,pp. 98: Part B,pp. 129: Part C,pp. 138: Appendix A,pp. 168: A. Existing Institutions,pp. 169: B. Inducstrial and Commercial,pp. 170: D. Industrial and Employment,pp. 171: E. Existing Major Traffic and Connecting Streets,pp. 172: F. Proposed Major Traffic Streets,pp. 173: F1. Street Proposals - Alternative,pp. 174: G. Future Land Use,pp. 175: G1. Proposals - Land to be Acquired,pp. 176: H. Morton Area (1 of 2),pp. 177: H. Morton Area (2 of 2),pp. 178: I. Wister and Portico Areas,pp. 179: J. Wister and Portico Areas,pp. 180: K. Queen Lane Area (1 of 2),pp. 181: K. Queen Lane Area (2 of 2),pp. 182: L. Utah Area (1 of 2),pp. 183: L. Utah Area (2 of 2),pp. 184: M. Germantown - blighted areas",
5925,Grays Ferry Redevelopment Area Plan,1968,Philadelphia City Planning Commission,,South Philadelphia,"Girard Estates,Grays Ferry,Pennsport,Point Breeze,Schuylkill,South,Wharton",HT 177 P4 P53 1968,"pp. 1: select a section,pp. 1: Cover,pp. 2: Title Page,pp. 3: Letter of Transmittal,pp. 4: Table of Contents,pp. 5: Maps List,pp. 6: Images List,pp. 7: Certification: Grays Ferry Redevelopment Area,pp. 10: Amendment to the Southwest Central Redevelopment Area,pp. 12: Map: Boundaries - Southwest Central Redevelopment Area,pp. 13: Introduction,pp. 14: Photos,pp. 16: Map: Existing Land Use,pp. 17: Proposed Land Use,pp. 17: Preliminary Site Plan,pp. 18: Map: Proposed Land Use,pp. 19: Proposed Street Changes,pp. 20: Rehousing of Displaced Families,pp. 20: Estimated Cost of Acquisition,pp. 20: Controls",
4072,Haddington Redevelopment Area Plan/,1962,Philadelphia City Planning Commission,,West Philadelphia,"Belmont,Cedar Park,Cobbs Creek,Haddington,Kingsessing,Mill Creek,Overbrook,Powelton,University City,Wynnefield",HT 177 P47 P54 1962,"pp. 1: select a section,pp. 1: Cover,pp. 2: City Planning Commission,pp. 3: Letter from G. Holmes Perkins, Chairman,pp. 4: Contents,pp. 5: Introduction,pp. 6: Photo: Aerial View of Site,pp. 7: Boundaries and Existing Conditions,pp. 8: Map: Boundaries,pp. 10: Photograph of Blighted Conditions,pp. 11: Photograph of Blighted Conditions (continued),pp. 13: Existing Land Use,pp. 15: Map: Existing Land Use,pp. 16: Proposed Land Use,pp. 19: Map: Proposed Land Use,pp. 20: Distribution of Land Uses,pp. 21: Preliminary Site Plan,pp. 23: Map: Preliminary Site Plan,pp. 24: Proposed Street Changes,pp. 26: Map: Proposed Street Changes,pp. 27: Existing Zoning,pp. 28: Map: Existing Zoning,pp. 29: Proposed Zoning,pp. 31: Map: Proposed Zoning,pp. 32: Proposed Standards of Development,pp. 36: Continuing Controls,pp. 37: Rehousing of Displaced Families,pp. 38: Estimated Cost of Acquisition",
6344,Hartranft Redevelopment Area Plan,1961,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",711.0974 P534.32,"pp. 1: select a section,pp. 1: Cover - recto,pp. 2: Cover - verso,pp. 3: The Commission,pp. 4: Contents,pp. 5: Letter of Transmittal,pp. 6: Introduction,pp. 7: Boundaries,pp. 8: Map: Boundaries,pp. 9: Photo: Aerial View,pp. 10: Existing Land Use,pp. 11: Map: Existing Land Use,pp. 12: Existing Zoning,pp. 13: Map: Existing Zoning,pp. 14: Proposed Land Use,pp. 15: Map: Proposed Land Use,pp. 16: Distribution of Land Uses,pp. 17: Proposed Zoning,pp. 18: Map: Proposed Zoning,pp. 19: Proposed Street Changes,pp. 20: Map: Proposed Street Changes,pp. 21: Proposed Standards,pp. 22: Rehousing of Displaced Families,pp. 23: Estimated Cost of Acquisition,pp. 24: Controls,pp. 25: Preliminary Site Plan,pp. 26: Map: Preliminary Site Plan",
4328,Hunting Park Neighborhood Conservation Plan,1977,Philadelphia City Planning Commission,,Upper North Philadelphia,Olney,HT 177 P5 P5325 1977,"pp. 1: select a section,pp. 1: Cover,pp. 3: Table of Contents,pp. 4: Introduction,pp. 5: I. Summary Table,pp. 6: Map: Location Map,pp. 7: II. Neighborhood Profile,pp. 8: Map: Land Use,pp. 11: III. Current Activities,pp. 13: IV. Major Planning Issues,pp. 14: Map: Vacancy Blocks,pp. 16: Map: Activity Blocks,pp. 16: V. Planning Recommendations,pp. 17: Map: Activity Blocks,pp. 21: VI. Informational Appendices,pp. 24: Map: Existing Zoning",
4372,Hunting Park West Development Plan,1981,Stephen Andrade,R. Duane Perry,Upper North Philadelphia,Olney,HT 177 P5 A64,"pp. 1: select a section,pp. 1: Title Page,pp. 3: Preface,pp. 6: Contents,pp. 17: Development Context,pp. 46: Development Strategy,pp. 77: Appendices",
2592,Independence Mall,1966,Philadelphia City Planning Commission,,Center City East,"Center City East,Olde City,Riverfront,Society Hill,Washington Square",NA 9127 P52 A435 1966,"pp. 1: select a section,pp. 1: Cover,pp. 8: Contents,pp. 10: List of Maps,pp. 11: List of Photographs,pp. 12: Introduction,pp. 13: Boundaries,pp. 14: Photo: Filbert Street between 6th and 7th Streets,pp. 14: Photo: 6th Street North of Arch Street,pp. 14: Photo: Cherry Street between 6th and 7th Streets,pp. 14: Photo: 6th and Arch Streets,pp. 15: Photo: Arch Street between 6th and 7th Streets,pp. 15: Photo: 6th Street North of Market Street,pp. 15: Photo: 5th and Market Streets,pp. 15: Photo: Quarry Street between 6th and 7th Streets,pp. 16: Existing Land Use,pp. 17: Land Use Distribution in Acres,pp. 18: Zoning,pp. 19: Proposed Standards for Land Coverage and Building Intensity,pp. 22: Controls,pp. 22: Estimated Cost of Acquisition,pp. 22: Rehousing of Displaced Families,pp. 23: Amendment (dec. 1963),pp. 25: Existing Land Use,pp. 25: Proposed Land Use,pp. 25: Land Use Distribution in Acres,pp. 26: Zoning,pp. 26: Proposed Standards for Land Coverage and Building Intensity,pp. 27: Street Changes,pp. 27: Estimated Cost of Acquisition,pp. 29: Map: Boundaries and Existing Land Use,pp. 30: Map: Proposed Land Use,pp. 31: Map: Proposed Zoning,pp. 32: Map: Proposed Street Changes,pp. 33: Map: Preliminary Site Plan,pp. 34: Map: Revised Site Plan,pp. 35: AMENDMENT (Jan. 1966),pp. 37: Existing Land Use,pp. 38: Acquisition Costs,pp. 38: Standards,pp. 38: Site Plan,pp. 39: Zoning,pp. 39: Street Changes,pp. 40: Map: Existing Land Use-Unit 4,pp. 41: Map: Existing Zoning-Unit 4,pp. 42: Map: Proposed Land Use-Unit 4,pp. 43: Map: Proposed Zoning-Unit 4,pp. 44: Map: Proposed Street Changes-Unit 4,pp. 45: Map: Proposed Site Plan-Unit 4",
4329,Independence Mall Redevelopment Area Plan,1962,Philadelphia City Planning Commission,,Center City East,"Center City East,Olde City,Riverfront,Society Hill,Washington Square",NA 9127 P4 I537 1962,"pp. 1: select a section,pp. 1: Cover,pp. 2: Title Page,pp. 3: Planning Commission,pp. 4: Contents,pp. 5: Letter of Transmittal,pp. 6: Introduction,pp. 8: Boundaries and Existing Conditions,pp. 10: Map: Boundaries & Existing Land Use,pp. 11: Photographs of Blighted Conditions,pp. 12: Photographs of Blighted Conditions,pp. 13: Existing Land Use,pp. 16: Proposed Land Use,pp. 17: Map: Proposed Land Use,pp. 18: Map: Proposed Zoning,pp. 19: Zoning,pp. 21: Map: Preliminary Site Plan,pp. 22: Proposed Standards,pp. 24: Proposed Street Changes,pp. 26: Map: Proposed Street Changes,pp. 27: Controls,pp. 28: Estimated Cost of Acquisition,pp. 28: Rehousing of Displaced Families",
6620,Issues for the 1980's,1979,Philadelphia City Planning Commission,,,,HT165.P4 A4413 1979,"pp. 1: select a section,pp. 1: Cover,pp. 2: Cover Verso,pp. 3: Introduction,pp. 4: Contents,pp. 5: Contents,pp. 6: Contents,pp. 7: Issues,pp. 45: Projects,pp. 46: Economic Development,pp. 53: Housing and Community Development,pp. 60: Transportation,pp. 67: Land and Resources Management,pp. 71: Community Facilities and Human Services,pp. 79: Image of the City",
4330,Kensington & Allegheny Commercial District,1978,Philadelphia City Planning Commission,,Frankford / Kensington,"Fishtown,Frankford,Harrowgate,Kensington,Port Richmond,Richmond,West Kensington",HF 5430.5 P5 H65 1978,"pp. 1: select a section,pp. 1: Cover,pp. 3: Table of Contents,pp. 4: Map: Location Plan,pp. 5: I. Summary of Recommendation,pp. 6: II, III. Background to the Study, Purpose to the Study,pp. 7: IV. Description of the K&A Area,pp. 9: Map: Study Area Plan,pp. 10: V. Businessmen's Needs and Organizations,pp. 13: VI. The Adjacent Residential Community,pp. 14: Map: 1970 Philadelphia Census Tracts,pp. 16: VII. Study Methodology and Recommendation - Parking,pp. 18: Site Improvements,pp. 20: Map: Revitalization Study: Illustrative Mid Block,pp. 21: Map: Revitalization Study: Illustrative Corner Plan,pp. 24: VIII. Funding Alternatives,pp. 26: IX. Analysis of Individual Sites for Parking,pp. 27: Map: Revitalization Study: Existing Conditions Site A,pp. 28: Photographs of Blighted Areas: Site A,pp. 29: Map: Revitalization Study: Parking Layout Site A,pp. 30: Map: Revitalization Study: Existing Conditions Site B,pp. 31: Photographs of Blighted Areas: Site B,pp. 32: Photographs of Blighted Areas: Site B,pp. 33: Map: Revitalization Study: Parking Layout Site B",
4380,"Land Use in Philadelphia, 1944-1954.",1956,Philadelphia City Planning Commission,,,,NA 9127 P4 A255,"pp. 1: select a section,pp. 1: Front Cover,pp. 2: The Planning Commission,pp. 3: Title Page,pp. 4: Sources,pp. 5: Definitions,pp. 6: Introduction,pp. 6: Table 1. Amount of Developed Land, 1954,pp. 6: Table 2. Gross Land Uses, 1944-54,pp. 6: Table 3. Airport and Industrial Acreage,pp. 7: Map: Existing Land Use,pp. 9: Table 4. Land Use in Square Miles,pp. 9: Table 5. Industrial Land Use in Square Miles,pp. 9: Table 6. Population Changes, 1930-54,pp. 10: Table 7. Land Use Changes, 1944-54,pp. 11: Planning Analysis Sections,pp. 12: A. Central Philadelphia,pp. 13: Map: Central Philadelphia,pp. 14: B. South Philadelphia,pp. 15: Map: South Philadelphia,pp. 16: C. Southwest Philadelphia,pp. 17: Map: Southwest Philadelphia,pp. 18: D. West Philadelphia,pp. 19: Map: West Philadelphia,pp. 20: E. Lower North Philadelphia,pp. 21: Map: Lower North Philadelphia,pp. 22: F. Upper North Philadelphia,pp. 23: Map: Upper North Philadelphia,pp. 24: G. Kensington,pp. 25: Map: Kensington,pp. 26: H. Roxborough - Manayunk,pp. 27: Map: Roxborough - Manayunk,pp. 28: I. Germantown - Chestnut Hill,pp. 29: Map: Germantown - Chestnut Hill,pp. 30: J. Olney - Oak Lane,pp. 31: Map: Olney - Oak Lane,pp. 32: K. Near Northeast Philadelphia,pp. 33: Map: Near Northeast Philadelphia,pp. 34: L. Far Northeast Philadelphia,pp. 35: Map: Far Northeast Philadelphia",
6346,Lehigh. Redevelopment Areas.,1951,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",711.0974 P534.18 Lehigh,"pp. 1: select a section,pp. 1: Cover,pp. 2: Cover verso,pp. 3: Title Page,pp. 4: Area, Findings, Conclusion, Certification,pp. 5: Explanatory Notes,pp. 5: Certification,pp. 5: Unsafe, unsanitary, inadequate and overcrowded conditions,pp. 6: Defective design and arrangement of buildings,pp. 6: Excessive land coverage and lack of proper light, air and open space,pp. 6: Faulty street or lot layout,pp. 7: Economically and socially undesirable land uses,pp. 8: Map: Area Map",
4369,Lombard Redevelopment,1957,"Kling, Larson and Stonorov",,Center City East,"Center City East,Olde City,Riverfront,Society Hill,Washington Square",NA 9127 P4 L65 1957,"pp. 1: select a section,pp. 1: Title Page,pp. 3: Suggested Form of Report,pp. 4: Foreward,pp. 8: Introduction,pp. 11: Exisitng Land Use,pp. 12: Map: Existing Parking Facilities,pp. 13: Map: Existing Traffic Pattern,pp. 14: Map: Proposed Traffic Pattern,pp. 15: Map: Existing Land Use,pp. 17: Map: Proposed Land Use,pp. 18: Proposed Land Use,pp. 19: Map: Existing Zoning,pp. 20: Existing Zoning,pp. 21: Proposed Zoning,pp. 22: Map: Positive Factors,pp. 23: Positive Factors,pp. 24: Map: Historical Sites,pp. 25: Map: Proposed Zoning,pp. 26: Map: Historic Sites,pp. 27: Sites of Historic Buildings,pp. 28: Map: Community Facilities,pp. 29: Community Facilities,pp. 30: Map: Geographical Distribution,pp. 32: Map: Housing Quality,pp. 33: Housing Quality,pp. 34: Map: Assessments,pp. 35: Map: Assessment Plan Block Numbers,pp. 36: Lombard Area Statistics,pp. 43: Map: Lombard Area Redevelopment Plan,pp. 44: Map: Lombard Area",
5936,Mantua Area Plan,1968,Philadelphia City Planning Commission,,West Philadelphia,"Belmont,Cedar Park,Cobbs Creek,Haddington,Kingsessing,Mill Creek,Overbrook,Powelton,University City,Wynnefield",HT 177 P47 P455 1968,"pp. 1: select a section,pp. 1: Cover,pp. 2: Title Page,pp. 3: Table of Contents,pp. 4: Images List,pp. 5: Letter of Transmittal,pp. 6: Introduction,pp. 7: Photos: Blighted Conditions,pp. 8: Existing Land Use and Boundaries,pp. 9: Map: Existing Land Use,pp. 10: Proposed Land Use,pp. 11: Map: Proposed Land Use,pp. 12: Map: Public Uses,pp. 13: Public Use Plan,pp. 13: Illustrative Site Plan,pp. 14: Map: Illustrative Site Plan,pp. 15: Major Circulation Routes and Proposed Street Changes,pp. 15: Proposed Standards,pp. 16: Rehousing of Displaced Families,pp. 16: Estimated Cost of Acquisition,pp. 17: Continuing Controls",
4333,Market East Plaza,1958,Philadelphia City Planning Commission,,Center City East,"Center City East,Olde City,Riverfront,Society Hill,Washington Square",NA 9127 P4 P455 1958,"pp. 1: select a section,pp. 1: Cover,pp. 3: Title Page,pp. 4: Principles & Architectural Model of Proposed Market East Plaza,pp. 5: Scope & Program,pp. 6: Principles,pp. 7: Mass Transit to the Core & Automobile Movement to the Core,pp. 8: Plan,pp. 9: Plan,pp. 10: Description,pp. 11: Cross-Section of Site,pp. 12: Facts & Floor Plans,pp. 13: Drawing of Section and Perspective of Different Levels of the Plaza,pp. 14: Drawing of Elevated Walkway,pp. 15: Drawing of Section and Perspective of Different Levels of the Plaza,pp. 16: Conclusions,pp. 17: Large Foldout Drawing and Map of Site,pp. 19: Inside of Back Cover",
4089,Market East Study,1963,Philadelphia City Planning Commission,,Center City East,"Center City East,Olde City,Riverfront,Society Hill,Washington Square",HT 177 P47 P45 1963,"pp. 1: select a section,pp. 1: Front cover--recto,pp. 2: Title page,pp. 3: Philadelphia City Planning Commission,pp. 5: Illus: Artist Sketch of Site,pp. 6: Illus: Typical Cross-Section,pp. 7: Map: Subway Train Concourse,pp. 8: Map: Street Level,pp. 9: Map: Shopping Promenade,pp. 10: Map: Site Plan,pp. 11: Illus: Elevation of Market East,pp. 12: Illus: Section of Street-Crossing,pp. 13: Illus: 12th Street Looking North,pp. 14: Illus: Section at Terminal Hall Looking West,pp. 15: Illus: Section of Terminal Hall Looking South,pp. 16: Illus: Terminal Hall,pp. 17: Illus: Section at Wanamakers",
5976,Market Street East Urban Design Study,1990,Philadelphia City Planning Commission,,Center City East,"Center City East,Olde City,Riverfront,Society Hill,Washington Square",HT 168 P43 A4524 1990,"pp. 1: select a section,pp. 1: Original Cover,pp. 2: Contents,pp. 3: Introduction,pp. 4: I. Background,pp. 5: Map: Original City Grid,pp. 9: II. Objectives of the Zoning Code Revisions,pp. 9: A. Public Space,pp. 9: B. Zoning Revisions,pp. 11: III. Urban Design Case Study,pp. 11: A. Strategies As Set Forth,pp. 14: B. Methodology,pp. 20: IV. Evaluating the Potential Effect of the Revised Zoning Code,pp. 26: V. Recommendations,pp. 30: VI. Conclusions Regarding the Process of the Study",
4073,"Market West, Center City Redevelopment Area",1965,Philadelphia City Planning Commission,,Center City East,"Center City West,Fitler Square,Rittenhouse Square,Spring Garden",HT 177 P47 P45 1965,"pp. 1: select a section,pp. 1: Cover,pp. 2: Title page,pp. 3: Philadelphia City Planning commission,pp. 4: Letter of Transmittal,pp. 5: Contents,pp. 6: Introduction,pp. 7: Photo: Aerial View Looking North and East of Market West,pp. 9: Photographs of Blighted Conditions,pp. 11: Photo: Aerial View Looking North and West on Market West,pp. 13: Phot: Aerial View Looking SE Over the Ben Franklin Parkway,pp. 14: Map: Existing Land Use,pp. 15: Map: Proposed Land Use,pp. 18: Map: Existing Zoning,pp. 19: Map: Proposed Zoning,pp. 21: Map: Proposed Street Changes,pp. 27: Map: Preliminary Site Plan,pp. 29: Map: Concourse Plan",
4335,Mill Creek Redevelopment Area Plan,1954,Philadelphia City Planning Commission,,West Philadelphia,"Belmont,Cedar Park,Cobbs Creek,Haddington,Kingsessing,Mill Creek,Overbrook,Powelton,University City,Wynnefield",NA 9127 P4 A26,"pp. 1: select a section,pp. 1: Cover,pp. 2: The Planning Commission,pp. 3: Title Page,pp. 4: Letter of Transmittal,pp. 5: Contents,pp. 6: Foreward,pp. 8: Boundaries & Site Conditions,pp. 10: The Plan,pp. 12: Map: Existing Traffic Pattern,pp. 13: Map: Proposed Traffic Pattern,pp. 14: Map: Existing Land Use,pp. 15: Map: Proposed Land Use,pp. 16: Map: Existing Zoning,pp. 17: Map: Proposed Zoning,pp. 18: Map: Proposed Street Changes,pp. 19: Map: Proposed Transit Lines,pp. 20: Proposed Standards of Population, Land & Buildings,pp. 26: Map: Project Areas - Assessed Valuation,pp. 30: Map: Proposed Site Development,pp. 31: Outline of Development,pp. 32: Controls,pp. 37: Map: Preliminary Site Area Plan,pp. 38: Map: Preliminary Site Area Map",
6347,Morton Redevelopment Area Plan,1958,Philadelphia City Planning Commission,Frank Graham,Northwest Area,"Chestnut Hill,East Falls,East Mount Airy,Germantown,Manayunk,Mount Airy,Roxborough,West Mount Airy,Wissahickon",711.0974 P534.25,"pp. 1: select a section,pp. 1: Cover,pp. 2: Cover verso,pp. 3: Original Cover,pp. 4: Photo: Aerial View,pp. 5: The Commission,pp. 6: Title Page,pp. 7: Contents,pp. 8: Letter of Transmittal,pp. 9: Foreward,pp. 10: Boundaries and Existing Land Use,pp. 11: Proposed Land Use,pp. 12: Existing Zoning,pp. 13: Proposed Zoning,pp. 14: Proposed Street Changes,pp. 15: Proposed Standards,pp. 16: Estimated Cost of Acquisition,pp. 17: Controls,pp. 18: Preliminary Site Plan,pp. 19: Map: Preliminary Site Plan",
2586,Mount Olivet: Redevelopment Plan,1962,Philadelphia City Planning Commission,,West Philadelphia,"Belmont,Cedar Park,Cobbs Creek,Haddington,Kingsessing,Mill Creek,Overbrook,Powelton,University City,Wynnefield",HT 177 P47 P562 1962,"pp. 1: select a section,pp. 1: front cover,pp. 5: Letter of Transmittal,pp. 6: Boundaries and Existing Conditions,pp. 7: Map: Boundaries,pp. 8: Photographs of Deteriorating Conditions,pp. 9: Land Use,pp. 10: Map: Proposed Land Use,pp. 11: Map: Preliminary Site Plan,pp. 12: Zoning,pp. 12: Rehousing Displaced Person,pp. 12: Proposed Street Changes,pp. 13: Proposed Standards,pp. 14: Estimated Cost of Acquisition,pp. 14: Continuing Controls,pp. 15: back cover",
2609,Nicetown Redevelopment Area Plan,1965,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",HT 177 P5 P5328 1965,"pp. 1: select a section,pp. 1: front cover,pp. 5: Letter of Transmittal,pp. 6: Photo: 1964 Aerial View of Nicetown Looking Eastward,pp. 8: Map: Proposed Boundaries,pp. 9: Introduction,pp. 10: Objectives,pp. 11: Traffic,pp. 12: Map: Existing Traffic Pattern,pp. 13: Map: Proposed Traffic Pattern,pp. 14: Proposed Street Changes,pp. 15: Map: Proposed Street Changes,pp. 16: Map: Existing Commercial Pattern,pp. 17: Commerice,pp. 20: Map: Conditions of Residential Occupancy,pp. 21: Housing,pp. 22: Recreation and Schools,pp. 23: Industry,pp. 24: Map: Existing Land Use,pp. 25: Map: Proposed Land Use,pp. 27: Zoning,pp. 28: Map: Existing Zoning,pp. 29: Map: Proposed Zoning,pp. 30: Proposed Standards of Development,pp. 31: Continuing Controls,pp. 31: Estimated Cost of Acquisition,pp. 32: Proposed Site Plan,pp. 33: Map: Preliminary Site Plan",
5983,North Delaware Waterfront District Plan,1982,Philadelphia City Planning Commission,,Frankford / Kensington,"Fishtown,Frankford,Harrowgate,Kensington,Port Richmond,Richmond,West Kensington",HT 168 P43 A526 1982,"pp. 1: select a section,pp. 1: Cover,pp. 3: Title Page,pp. 5: Contents,pp. 6: Photo: Aerial View of the Waterfront District,pp. 7: Introduction,pp. 9: Table: Riverfront Plan,pp. 11: Summary,pp. 13: Map: Context,pp. 15: Existing Conditions,pp. 18: Table: Land Use Acreage,pp. 19: Map: Existing Land Use,pp. 27: Table: Employment,pp. 28: Map: Economic Conditions,pp. 31: Table: Pier Conditions,pp. 32: Map: Rail System,pp. 36: Map: Circulation,pp. 40: Map: Transit,pp. 44: Map: Community Groups,pp. 48: Map: Recreation and Open Space,pp. 52: Map: Environmental Factors,pp. 59: Opportunities and Constraints,pp. 69: The North Delaware Waterfront Plan,pp. 71: Map: Recommendations,pp. 76: Map: Tioga Marine Terminal Improvements,pp. 77: Map: Port Richmond,pp. 79: Map: Frankford Arsenal,pp. 81: Map: Port Industrial Park,pp. 82: Map: Riverside Industrial Park,pp. 84: Map: North Spring Garden,pp. 86: Map: Residential Development - East Torresdale,pp. 87: Map: Pulaski Pier Park,pp. 88: Map: Pleasant Hill Park Boardwalk,pp. 89: Map: Pleasant Hill Park Improvements,pp. 90: Map: Pennypack Creek Park,pp. 91: Map: Penn Treaty Park Expansion,pp. 92: Map: Delaware Avenue Extension",
4782,North Philadelphia Plan : draft [1986],1986,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",HT 177 P5 P533 1986,"pp. 1: select a section,pp. 1: Front Cover,pp. 2: Title Page,pp. 3: Contents,pp. 6: Maps List,pp. 8: Tables List,pp. 9: Introduction,pp. 13: Chapter I: Existing Conditions,pp. 14: Map: North Phila. - Location,pp. 15: Map: North Phila. - Planning Analysis Sections,pp. 17: Map: Major Features,pp. 18: Map: North Phila. Neighborhoods,pp. 27: Population Characteristics & Trends,pp. 30: Map: Population Change, 1970-1980,pp. 32: Map: Black Population, 1980,pp. 34: Map: Hispanic Population,pp. 36: Map: Population Density,pp. 38: Map: Persons Under 18 Years of Age, 1980,pp. 43: Socioeconomic Characteristics & Trends,pp. 46: Map: Persons Below Poverty, 1980,pp. 48: Map: Unemployment, 1980,pp. 50: Map: Female-Headed Households with Children under 18, 1980,pp. 54: Map: Workers Utilizing Public Transportation, 1980,pp. 57: Housing,pp. 62: Map: Long Term Residential Vacancy, 1984,pp. 66: Map: House Sales Price, 1981,pp. 70: Map: Owner Occupied Housing, 1980,pp. 72: Map: New Subsidized Housing, 1980-1985,pp. 77: The Economy,pp. 88: Map: Phila. Commercial Development Corp. Commercial Strips,pp. 91: Community Facilities & Services,pp. 93: Map: Recreation Facilities,pp. 100: Map:Schools,pp. 103: Map: Libraries,pp. 105: Map: Public Health Centers and Hospitals,pp. 108: Map: Police and Fire Stations,pp. 113: Chapter II: Issues and Opportunities,pp. 113: Overview,pp. 114: Citizen Survey,pp. 117: Housing & Community Development,pp. 129: Economic Development,pp. 139: Communities, Facilities and Services,pp. 139: Recreation,pp. 141: Transportation,pp. 147: Education,pp. 151: Libraries,pp. 153: Health Care,pp. 155: Public Safety - Crime,pp. 157: Public Safety - Fire,pp. 159: Chapter III: A Plan for North Philadelphia,pp. 159: Introduction,pp. 161: District-Wide Recommendatons,pp. 191: Community Plans,pp. 192: Map: North Phila. Physical Development Concept,pp. 196: Map: North Phila. District Center - Existing Conditions,pp. 200: Map: North Phila. District Center - Recommendations,pp. 207: Map: Fairhill/W. Kensingtion/St. Edward's Community - Existing Conditions,pp. 211: Map: Fairhill/W. Kensingtion/St. Edward's Community - Recommendations,pp. 220: Map: Poplar/Northern Liberties/Olde Kensington/Kensington So./Ludlow - Existing Conditions,pp. 223: Map: Poplar/Northern Liberties/Olde Kensington/Kensington So./Ludlow Community - Recommendations,pp. 231: Map: Francisville/Spring Garden/Fairmount Community - Existing Conditions,pp. 234: Map: Francisville/Spring Garden/Fairmount Community - Recommendations,pp. 239: Map: North Central Community,pp. 242: Map: Broad and Susquehanna Development Area - Existing Conditions,pp. 246: Map: Groad and Susquehanna Development Area - Recommendations,pp. 252: Map: Columbia Avenue Development Area - Existing Conditions,pp. 255: Map: Columbia Avenue Development Area - Recommendations,pp. 263: Map: East of Broad Development Area - Existing Conditions,pp. 267: Map: East of Broad Development Area - Recommendations,pp. 273: Map: Strawberry Mansion Community - Existing Conditions,pp. 276: Map: Strawberry Mansion Community - Recommendations,pp. 283: Map: Allegheny West Community - Existing Conditions,pp. 285: Map: Allegheny West Community - Recommendations,pp. 289: Map: Tioga/Nicetown/Hunting Park Community - Existing Conditions,pp. 292: Map: Tioga/Nicetown/Hunting Park Community - Recommendations,pp. 297: Map: St. Hugh's Community - Existing Conditions,pp. 299: Map: St. Hugh's Community - Recommendations",
